Team + Rank,Minutes Rank,Player,Class,Pos,School,Conf,G,MP,Totals FG,Totals FGA,Totals 2P,Totals 2PA,Totals 3P,Totals 3PA,Totals FT,Totals FTA,Totals ORB,Totals DRB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Totals PTS
Abilene Christian1,1,Tevin Foster,SR,G,Abilene Christian,Southland,31,1004,116,272,71,135,45,137,105,131,19,73,92,108,44,4,83,72,382
Abilene Christian2,2,Jaylen Franklin,JR,G,Abilene Christian,Southland,31,1003,140,251,136,231,4,20,48,89,34,89,123,140,57,6,84,76,332
Abilene Christian3,3,Jaren Lewis,JR,G,Abilene Christian,Southland,31,955,153,273,140,241,13,32,90,114,73,160,233,57,48,29,70,73,409
Abilene Christian4,4,Jalone Friday,SO,C,Abilene Christian,Southland,31,687,154,337,110,211,44,126,59,84,36,121,157,16,9,45,49,107,411
Abilene Christian5,5,Payten Ricks,SO,G,Abilene Christian,Southland,25,558,50,132,25,65,25,67,38,51,6,38,44,42,18,1,31,42,163
Abilene Christian6,6,Drake Green,SR,G,Abilene Christian,Southland,31,494,46,107,15,23,31,84,6,7,2,33,35,26,15,1,24,57,129
Abilene Christian7,7,Isaiah Tripp,SR,G,Abilene Christian,Southland,27,324,26,70,13,33,13,37,11,16,4,23,27,23,16,1,15,24,76
Abilene Christian8,8,Hayden Howell,JR,F,Abilene Christian,Southland,31,306,47,84,43,75,4,9,18,30,18,41,59,9,7,4,27,54,116
Abilene Christian9,9,Hayden Farquhar,JR,F,Abilene Christian,Southland,31,298,42,111,26,41,16,70,10,17,16,61,77,11,13,9,18,40,110
Abilene Christian10,10,B.J. Maxwell,SO,G,Abilene Christian,Southland,30,283,39,83,28,54,11,29,7,14,23,37,60,19,7,10,15,50,96
Abilene Christian11,11,Trey Lenox,SO,G,Abilene Christian,Southland,28,169,7,20,7,15,0,5,2,5,3,18,21,9,13,0,10,27,16
Abilene Christian12,12,Kolton Kohl,FR,C,Abilene Christian,Southland,24,102,15,35,15,35,0,0,9,18,8,14,22,3,0,10,8,23,39
Abilene Christian13,13,Chase Cobb,SO,G,Abilene Christian,Southland,6,22,1,9,1,2,0,7,0,0,1,1,2,4,1,0,4,3,2
Abilene Christian14,14,Paul Hiepler,FR,G,Abilene Christian,Southland,4,20,2,3,1,1,1,2,0,0,1,2,3,0,1,0,1,0,5
Air Force1,1,Trevor Lyons,SR,G,Air Force,MWC,31,1012,95,242,62,153,33,89,69,94,18,128,146,102,43,2,64,67,292
Air Force2,2,Lavelle Scottie,SO,F,Air Force,MWC,31,826,145,317,108,212,37,105,50,69,46,90,136,43,22,14,68,72,377
Air Force3,3,Ryan Swan-Ford,SO,F,Air Force,MWC,31,657,102,214,81,166,21,48,61,82,53,87,140,42,19,17,35,71,286
Air Force4,4,Keaton Van Soelen,FR,G,Air Force,MWC,28,515,37,90,31,54,6,36,20,30,29,50,79,32,12,11,21,31,100
Air Force5,5,Sid Tomes,SO,G,Air Force,MWC,29,507,47,121,16,32,31,89,11,16,8,38,46,35,21,4,22,36,136
Air Force6,6,Jacob Van,SR,G,Air Force,MWC,31,481,44,123,18,52,26,71,48,54,4,32,36,35,16,2,33,30,162
Air Force7,7,Ryan Manning,SR,F,Air Force,MWC,28,446,58,152,28,53,30,99,29,38,25,59,84,15,10,5,24,35,175
Air Force8,8,Frank Toohey,SR,C,Air Force,MWC,31,426,45,107,30,70,15,37,46,55,38,43,81,26,12,8,30,65,151
Air Force9,9,C.J. Siples,SR,G,Air Force,MWC,30,421,38,97,28,48,10,49,10,18,8,32,40,45,28,5,28,47,96
Air Force10,10,Pervis Louder,JR,G,Air Force,MWC,16,291,35,92,27,55,8,37,23,35,10,29,39,28,8,3,22,37,101
Air Force11,11,Caleb Morris,SO,G,Air Force,MWC,23,278,39,90,21,38,18,52,17,24,7,45,52,20,3,2,14,27,113
Air Force12,12,Dane Norman,JR,F,Air Force,MWC,21,133,14,32,8,13,6,19,6,10,8,20,28,5,0,1,11,20,40
Air Force13,13,Jonathan DeWane,SO,F,Air Force,MWC,21,110,24,42,18,32,6,10,8,12,7,18,25,6,4,3,4,11,62
Air Force14,14,Christopher Joyce,FR,G,Air Force,MWC,10,46,2,13,1,6,1,7,1,4,3,4,7,5,1,0,1,3,6
Air Force15,15,LeSean Brown,SO,G,Air Force,MWC,14,44,3,10,3,6,0,4,8,13,2,1,3,3,0,0,1,3,14
Air Force16,16,Ameka Akaya,,F,Air Force,MWC,7,19,2,5,1,4,1,1,0,0,3,1,4,3,1,1,0,1,5
Air Force17,17,Charles O'Briant,,F,Air Force,MWC,2,4,1,1,0,0,1,1,1,2,0,1,1,0,0,0,0,1,4
Air Force18,18,Kobi Betts,,G,Air Force,MWC,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Air Force19,19,James Edwards,,G,Air Force,MWC,1,3,1,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2
Air Force20,20,Bryce Hughes,,G,Air Force,MWC,1,3,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2
Akron1,1,Daniel Utomi,SO,F,Akron,MAC,32,1104,175,389,87,170,88,219,97,126,33,137,170,60,30,9,67,74,535
Akron2,2,Jimond Ivey,JR,G,Akron,MAC,32,1059,142,355,81,176,61,179,74,97,39,144,183,113,35,13,76,86,419
Akron3,3,Malcolm Duvivier,SR,G,Akron,MAC,32,1041,159,409,72,176,87,233,51,79,10,71,81,99,27,6,95,94,456
Akron4,4,Eric Parrish,FR,G,Akron,MAC,32,864,107,208,84,137,23,71,41,66,51,99,150,43,39,7,45,73,278
Akron5,5,Virshon Cotton,FR,G,Akron,MAC,29,595,60,163,23,65,37,98,56,74,4,54,58,51,21,0,57,42,213
Akron6,6,Torrey Patton,FR,G,Akron,MAC,32,512,39,79,36,64,3,15,26,42,37,62,99,16,15,1,21,56,107
Akron7,7,Mark Kostelac,FR,C,Akron,MAC,30,370,30,61,30,61,0,0,6,12,18,34,52,9,9,13,31,89,66
Akron8,8,Emmanuel Olojakpoke,SO,F,Akron,MAC,15,296,40,65,40,64,0,1,14,29,27,34,61,6,7,25,11,49,94
Akron9,9,Lucas Smith,,C,Akron,MAC,25,284,10,40,6,17,4,23,10,15,19,42,61,8,4,1,10,50,34
Akron10,10,Jaden Sayles,FR,F,Akron,MAC,16,234,26,40,26,40,0,0,30,41,7,22,29,4,2,5,13,15,82
Akron11,11,Sina Gbadebo,FR,G,Akron,MAC,17,76,3,8,2,3,1,5,0,1,3,4,7,6,0,0,5,7,7
Akron12,12,Craig Eubanks,SR,G,Akron,MAC,6,33,1,5,0,1,1,4,0,0,0,6,6,2,0,1,2,1,3
Akron13,13,Marquelle McIntyre,,G,Akron,MAC,10,7,1,1,1,1,0,0,0,0,0,2,2,0,0,0,1,1,2
Alabama1,1,John Petty,FR,G,Alabama,SEC,34,973,116,299,33,70,83,229,30,43,12,76,88,62,17,9,70,34,345
Alabama2,2,Dazon Ingram,SO,G,Alabama,SEC,33,952,96,224,78,159,18,65,118,169,29,157,186,86,29,11,73,89,328
Alabama3,3,Collin Sexton,FR,G,Alabama,SEC,31,924,182,410,139,285,43,125,183,234,33,84,117,110,28,3,82,75,590
Alabama4,4,Donta Hall,JR,F,Alabama,SEC,32,764,145,201,145,201,0,0,59,106,73,146,219,19,22,68,42,56,349
Alabama5,5,Herb Jones,FR,G,Alabama,SEC,33,692,55,138,48,112,7,26,22,44,26,89,115,44,43,21,51,87,139
Alabama6,6,Braxton Key,,F,Alabama,SEC,24,610,63,152,48,92,15,60,35,50,35,98,133,45,26,9,43,45,176
Alabama7,7,Avery Johnson,JR,G,Alabama,SEC,34,478,48,138,28,74,20,64,28,35,12,26,38,26,16,1,18,54,144
Alabama8,8,Daniel Giddens,SO,F,Alabama,SEC,33,440,55,96,55,96,0,0,27,47,28,57,85,8,13,35,34,93,137
Alabama9,9,Galin Smith,FR,F,Alabama,SEC,31,369,36,59,36,59,0,0,8,30,26,35,61,2,2,23,23,54,80
Alabama10,10,Alex Reese,FR,F,Alabama,SEC,30,349,44,112,22,43,22,69,8,10,21,62,83,8,14,6,21,32,118
Alabama11,11,Riley Norris,SR,G,Alabama,SEC,9,166,16,37,10,17,6,20,5,8,6,16,22,6,4,0,5,19,43
Alabama12,12,Lawson Schaffer,JR,G,Alabama,SEC,13,51,3,10,1,1,2,9,0,0,0,0,0,10,4,0,8,7,8
Alabama13,13,Landon Fuller,SO,F,Alabama,SEC,2,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
Alabama14,14,Tyler Barnes,,F,Alabama,SEC,3,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Alabama A&M1,1,Arthur Johnson,JR,G,Alabama A&M,SWAC,31,859,119,296,72,161,47,135,57,78,46,116,162,47,22,3,79,88,342
Alabama A&M2,2,Evan Wiley,SO,F,Alabama A&M,SWAC,31,792,78,190,44,98,34,92,30,49,48,78,126,28,13,8,38,65,220
Alabama A&M3,3,Andre Kennedy,JR,F,Alabama A&M,SWAC,29,762,106,213,106,205,0,8,41,73,58,113,171,19,15,17,57,57,253
Alabama A&M4,4,De'Edrick Petty,,G,Alabama A&M,SWAC,29,704,75,221,55,125,20,96,79,102,6,55,61,49,18,3,77,51,249
Alabama A&M5,5,Julian Walters,,G,Alabama A&M,SWAC,22,672,50,120,33,64,17,56,30,43,13,86,99,80,26,0,47,44,147
Alabama A&M6,6,Marcus Merriweather,SR,G,Alabama A&M,SWAC,29,491,53,146,26,63,27,83,43,47,7,29,36,28,5,0,36,40,176
Alabama A&M7,7,Jalen Reeder,JR,G,Alabama A&M,SWAC,28,473,52,144,32,69,20,75,19,29,18,42,60,23,7,3,37,29,143
Alabama A&M8,8,Ariston Johnson,SO,G,Alabama A&M,SWAC,30,334,17,58,10,37,7,21,5,8,10,33,43,17,4,0,19,23,46
Alabama A&M9,9,Mohamed Sherif,,F,Alabama A&M,SWAC,13,309,38,87,37,85,1,2,11,37,20,30,50,9,4,4,30,42,88
Alabama A&M10,10,Tracy Burnett,SO,F,Alabama A&M,SWAC,25,304,43,102,43,101,0,1,8,15,21,31,52,7,1,5,19,20,94
Alabama A&M11,11,Mohamed Sherif,JR,F,Alabama A&M,SWAC,9,246,23,57,23,57,0,0,15,41,16,23,39,8,0,5,20,24,61
Alabama A&M12,12,Amari Goulbourne,FR,G,Alabama A&M,SWAC,10,207,14,44,8,27,6,17,6,10,3,17,20,24,7,1,15,21,40
Alabama A&M13,13,Brandon Houston,FR,F,Alabama A&M,SWAC,11,50,5,16,2,2,3,14,1,1,2,2,4,1,1,0,4,2,14
Alabama A&M14,14,Ryan McLaurin,,G,Alabama A&M,SWAC,3,12,0,3,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0
Alabama A&M15,15,Terry Ellis,,G,Alabama A&M,SWAC,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama State1,1,Reginald Gee,SO,G,Alabama State,SWAC,31,931,153,350,93,202,60,148,117,151,39,105,144,31,20,14,48,63,483
Alabama State2,2,Branden Johnson,SO,C,Alabama State,SWAC,31,753,99,154,99,153,0,1,40,108,79,133,212,8,18,48,37,74,238
Alabama State3,3,Tobi Ewuosho,SO,G,Alabama State,SWAC,30,660,64,153,55,129,9,24,44,75,39,89,128,43,27,5,50,79,181
Alabama State4,4,Jacoby Ross,FR,G,Alabama State,SWAC,26,644,104,251,57,127,47,124,66,83,11,36,47,59,18,0,48,43,321
Alabama State5,5,Ed Jones,JR,F,Alabama State,SWAC,28,570,73,175,64,136,9,39,22,30,38,55,93,5,11,25,28,69,177
Alabama State6,6,Gene Davis,JR,G,Alabama State,SWAC,31,567,42,123,29,72,13,51,28,32,7,40,47,67,13,1,67,51,125
Alabama State7,7,Terrance LeFlore,SR,G,Alabama State,SWAC,31,547,59,196,46,130,13,66,24,48,21,39,60,52,28,7,42,51,155
Alabama State8,8,Rodney Simeon,,G,Alabama State,SWAC,23,440,54,169,15,46,39,123,20,25,16,28,44,6,8,4,28,43,167
Alabama State9,9,Fausto Pichardo,JR,F,Alabama State,SWAC,28,423,47,104,46,98,1,6,30,46,29,77,106,12,14,20,34,81,125
Alabama State10,10,Austin Rogers,SO,G,Alabama State,SWAC,21,235,19,45,13,30,6,15,6,11,15,22,37,14,3,2,14,37,50
Alabama State11,11,Steve Rogers,SR,G,Alabama State,SWAC,20,218,14,56,3,24,11,32,13,16,3,13,16,9,6,1,6,18,52
Alabama State12,12,Marice Wright,JR,C,Alabama State,SWAC,20,129,12,30,11,23,1,7,2,9,13,24,37,2,1,2,7,27,27
Alabama State13,13,Fredens Deneus,JR,F,Alabama State,SWAC,17,78,8,21,8,21,0,0,6,13,7,10,17,3,2,1,5,10,22
Alabama State14,14,Micah Johnson,FR,G,Alabama State,SWAC,7,30,3,10,3,8,0,2,0,0,1,4,5,3,0,0,8,1,6
Alabama-Birmingham1,1,Zack Bryant,FR,G,Alabama-Birmingham,CUSA,33,1056,162,355,132,261,30,94,94,125,15,91,106,102,37,7,73,85,448
Alabama-Birmingham2,2,Nick Norton,JR,G,Alabama-Birmingham,CUSA,32,940,81,214,29,63,52,151,29,36,9,82,91,154,39,1,52,44,243
Alabama-Birmingham3,3,Nate Darling,SO,G,Alabama-Birmingham,CUSA,33,924,113,239,53,90,60,149,44,53,14,85,99,91,14,10,67,47,330
Alabama-Birmingham4,4,Chris Cokley,SR,F,Alabama-Birmingham,CUSA,32,870,219,376,219,374,0,2,104,127,100,177,277,49,18,13,47,52,542
Alabama-Birmingham5,5,William Lee,SR,F,Alabama-Birmingham,CUSA,33,850,137,271,100,160,37,111,33,51,50,174,224,35,25,67,47,66,344
Alabama-Birmingham6,6,Jalen Perry,JR,G,Alabama-Birmingham,CUSA,33,759,80,197,49,105,31,92,55,76,26,90,116,60,21,1,45,50,246
Alabama-Birmingham7,7,Lewis Sullivan,JR,F,Alabama-Birmingham,CUSA,33,627,95,166,91,150,4,16,44,64,50,95,145,28,16,19,53,77,238
Alabama-Birmingham8,8,Makhtar Gueye,FR,F,Alabama-Birmingham,CUSA,32,303,29,61,24,38,5,23,8,12,13,38,51,7,1,4,20,48,71
Alabama-Birmingham9,9,Deion Lavender,JR,G,Alabama-Birmingham,CUSA,19,212,22,40,22,38,0,2,10,18,4,33,37,27,5,0,14,10,54
Alabama-Birmingham10,10,Thomas Smallwood,JR,F,Alabama-Birmingham,CUSA,11,82,4,17,1,11,3,6,2,2,5,9,14,3,1,4,5,8,13
Alabama-Birmingham11,11,Hunter Reynolds,FR,G,Alabama-Birmingham,CUSA,10,19,3,3,2,2,1,1,0,0,1,2,3,2,1,0,1,1,7
Alabama-Birmingham12,12,Anderson McCoy,JR,G,Alabama-Birmingham,CUSA,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
Albany (NY)1,1,Joe Cremo,JR,G,Albany (NY),AEC,32,1128,182,397,106,231,76,166,131,160,20,112,132,120,27,9,68,70,571
Albany (NY)2,2,David Nichols,JR,G,Albany (NY),AEC,32,1082,166,421,109,265,57,156,78,101,16,120,136,111,37,7,80,84,467
Albany (NY)3,3,Greig Stire,SR,F,Albany (NY),AEC,32,965,102,188,102,187,0,1,60,87,99,167,266,37,15,6,35,93,264
Albany (NY)4,4,Devonte Campbell,JR,F,Albany (NY),AEC,31,959,67,164,60,114,7,50,66,85,44,70,114,53,16,18,37,57,207
Albany (NY)5,5,Travis Charles,SR,F,Albany (NY),AEC,31,896,174,314,174,314,0,0,106,129,60,115,175,22,17,13,55,87,454
Albany (NY)6,6,Alex Foster,SR,F,Albany (NY),AEC,32,482,59,110,59,109,0,1,30,58,54,97,151,8,13,30,35,70,148
Albany (NY)7,7,Costa Anderson,SR,G,Albany (NY),AEC,29,325,32,90,9,22,23,68,7,9,5,21,26,21,8,0,10,9,94
Albany (NY)8,8,Ahmad Clark,SO,G,Albany (NY),AEC,29,308,31,91,13,48,18,43,26,34,6,27,33,26,15,3,27,33,106
Albany (NY)9,9,Matt Conway,SO,F,Albany (NY),AEC,23,200,22,49,19,35,3,14,7,13,12,14,26,6,1,5,8,19,54
Albany (NY)10,10,Xavier Cochran,SO,G,Albany (NY),AEC,13,51,3,9,3,7,0,2,2,4,0,3,3,1,1,0,4,6,8
Albany (NY)11,11,Nick Fruscio,SO,G,Albany (NY),AEC,5,6,1,3,1,2,0,1,0,0,0,0,0,0,0,0,1,0,2
Alcorn State1,1,A.J. Mosby,SR,G,Alcorn State,SWAC,32,1030,178,354,120,209,58,145,71,82,14,136,150,124,46,4,64,56,485
Alcorn State2,2,Maurice Howard,SO,G,Alcorn State,SWAC,32,891,114,308,40,101,74,207,29,41,17,62,79,64,26,0,53,56,331
Alcorn State3,3,Dante Sterling,,F,Alcorn State,SWAC,32,867,116,299,58,137,58,162,87,107,21,84,105,48,31,4,67,46,377
Alcorn State4,4,Devon Brewer,SO,F,Alcorn State,SWAC,31,717,76,137,76,137,0,0,30,65,26,103,129,25,8,22,48,86,182
Alcorn State5,5,Troymain Crosby,FR,G,Alcorn State,SWAC,32,622,88,199,85,166,3,33,59,80,46,92,138,22,22,6,68,92,238
Alcorn State6,6,Yalen Reed,SO,F,Alcorn State,SWAC,28,589,65,129,60,106,5,23,37,59,44,89,133,28,7,28,31,77,172
Alcorn State7,7,Avery Patterson,SR,G,Alcorn State,SWAC,25,510,45,123,26,63,19,60,40,54,13,39,52,53,14,1,43,47,149
Alcorn State8,8,Tyler Carter,SO,F,Alcorn State,SWAC,32,505,37,98,32,78,5,20,39,53,43,69,112,22,20,2,31,81,118
Alcorn State9,9,Kobe Wilson,FR,F,Alcorn State,SWAC,27,209,8,27,6,19,2,8,8,20,12,39,51,8,6,10,9,28,26
Alcorn State10,10,Reginald Johnson,SR,F,Alcorn State,SWAC,8,184,39,87,29,53,10,34,10,16,16,18,34,9,7,1,8,12,98
Alcorn State11,11,TyQuayion Smith,JR,F,Alcorn State,SWAC,20,112,7,14,6,11,1,3,5,7,6,10,16,2,5,4,8,10,20
Alcorn State12,12,Khari Jabriel Allen,JR,G,Alcorn State,SWAC,5,88,8,26,5,17,3,9,5,6,1,4,5,3,0,2,10,9,24
Alcorn State13,13,James Stokes,SR,G,Alcorn State,SWAC,12,53,5,13,5,13,0,0,1,5,1,8,9,2,5,1,1,7,11
Alcorn State14,14,Juwan Henderson,SR,G,Alcorn State,SWAC,6,48,5,12,4,8,1,4,2,3,2,2,4,9,3,0,7,6,13
American1,1,Laurynas Motuzis,JR,G,American,Patriot,30,1083,155,373,92,183,63,190,65,102,22,121,143,50,49,7,66,85,438
American2,2,Sa'eed Nelson,,G,American,Patriot,29,1074,191,431,163,335,28,96,128,188,25,79,104,147,52,5,109,77,538
American3,3,Sam Iorio,FR,F,American,Patriot,28,934,143,300,81,158,62,142,68,86,46,137,183,37,38,25,49,72,416
American4,4,Cheikh Diallo,JR,G,American,Patriot,30,723,57,137,24,37,33,100,12,17,14,55,69,28,17,2,47,64,159
American5,5,Marvin Bragg,FR,G,American,Patriot,27,579,46,93,26,39,20,54,15,29,18,62,80,26,18,12,19,60,127
American6,6,Jesse Little,FR,F,American,Patriot,23,433,26,49,25,43,1,6,14,27,33,42,75,19,11,21,23,62,67
American7,7,Stacy Beckton,,G,American,Patriot,20,365,31,105,21,56,10,49,15,21,13,29,42,17,9,11,26,34,87
American8,8,Drew LaMont,FR,F,American,Patriot,14,245,16,45,3,9,13,36,4,8,5,18,23,13,7,6,10,18,49
American9,9,Nick Macarchuk,FR,F,American,Patriot,18,212,8,12,7,11,1,1,1,4,12,11,23,13,8,2,10,37,18
American10,10,Matt Cimino,JR,F,American,Patriot,18,190,11,27,8,13,3,14,0,2,10,23,33,12,2,6,20,25,25
American11,11,James Washington,JR,G,American,Patriot,15,175,13,38,9,20,4,18,4,7,2,13,15,5,6,1,13,13,34
American12,12,Kevin Brown,JR,G,American,Patriot,6,10,0,4,0,2,0,2,0,0,0,2,2,0,0,0,2,3,0
American13,13,Tyler McFarland,,G,American,Patriot,2,2,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,3
Appalachian State1,1,Ronshad Shabazz,JR,G,Appalachian State,Sun Belt,33,1079,206,515,126,282,80,233,117,170,19,64,83,99,36,2,80,58,609
Appalachian State2,2,Justin Forrest,FR,G,Appalachian State,Sun Belt,33,924,147,399,81,180,66,219,84,126,10,85,95,65,43,2,95,86,444
Appalachian State3,3,Isaac Johnson,SO,F,Appalachian State,Sun Belt,33,908,77,158,71,132,6,26,81,129,84,193,277,49,29,16,52,76,241
Appalachian State4,4,O'Showen Williams,,G,Appalachian State,Sun Belt,33,825,82,201,38,86,44,115,50,74,24,50,74,78,36,3,43,51,258
Appalachian State5,5,Griffin Kinney,SR,F,Appalachian State,Sun Belt,33,779,130,223,127,214,3,9,85,116,53,131,184,43,19,11,65,101,348
Appalachian State6,6,Tyrell Johnson,JR,F,Appalachian State,Sun Belt,33,731,88,211,57,112,31,99,37,54,37,98,135,19,8,37,39,79,244
Appalachian State7,7,Craig Hinton,SR,F,Appalachian State,Sun Belt,33,613,59,122,26,35,33,87,15,24,34,81,115,16,7,20,28,65,166
Appalachian State8,8,Hunter Seacat,,F,Appalachian State,Sun Belt,22,246,26,46,26,46,0,0,6,9,16,39,55,12,4,10,13,32,58
Appalachian State9,9,Bennett Holley,JR,F,Appalachian State,Sun Belt,29,199,18,45,3,6,15,39,4,4,8,20,28,7,2,3,4,32,55
Appalachian State10,10,Zach Cottrell,SO,F,Appalachian State,Sun Belt,23,176,9,28,3,6,6,22,3,6,7,27,34,9,5,0,5,20,27
Appalachian State11,11,Jake Wilson,JR,C,Appalachian State,Sun Belt,26,159,10,17,10,17,0,0,11,25,21,37,58,4,3,12,14,20,31
Appalachian State12,12,Nick Hough,JR,G,Appalachian State,Sun Belt,7,21,5,8,3,4,2,4,0,0,2,4,6,1,3,0,3,2,12
Appalachian State13,13,Trey Ford,JR,G,Appalachian State,Sun Belt,6,20,4,5,1,1,3,4,4,5,1,4,5,1,1,0,2,2,15
Appalachian State14,14,Kevin Kerley,JR,G,Appalachian State,Sun Belt,7,20,3,5,0,2,3,3,3,6,0,0,0,5,2,0,2,2,12
Arizona1,1,DeAndre Ayton,FR,F,Arizona,Pac-12,34,1134,270,438,258,405,12,33,138,186,113,279,392,56,19,65,68,81,690
Arizona2,2,Allonzo Trier,JR,G,Arizona,Pac-12,32,1093,180,354,110,175,70,179,158,183,11,88,99,105,21,11,67,55,588
Arizona3,3,Parker Jackson-Cartwright,SR,G,Arizona,Pac-12,34,1086,87,197,38,81,49,116,44,58,8,72,80,156,49,4,63,76,267
Arizona4,4,Dusan Ristic,SR,C,Arizona,Pac-12,34,923,171,305,165,291,6,14,62,79,70,169,239,31,13,17,45,79,410
Arizona5,5,Rawle Alkins,,G,Arizona,Pac-12,22,688,95,220,62,130,33,90,71,98,41,64,105,53,27,16,57,48,294
Arizona6,6,Dylan Smith,SO,G,Arizona,Pac-12,33,494,49,134,17,38,32,96,17,21,12,41,53,35,5,7,31,49,147
Arizona7,7,Brandon Randolph,FR,G,Arizona,Pac-12,30,352,40,105,26,60,14,45,19,26,4,21,25,25,12,4,21,37,113
Arizona8,8,Keanu Pinder,SR,F,Arizona,Pac-12,31,321,24,36,24,36,0,0,21,34,13,52,65,2,8,16,13,61,69
Arizona9,9,Emmanuel Akot,FR,G,Arizona,Pac-12,30,312,21,51,12,29,9,22,5,11,11,23,34,25,6,3,19,26,56
Arizona10,10,Ira Lee,FR,F,Arizona,Pac-12,26,275,23,51,22,49,1,2,13,23,19,42,61,10,5,12,13,50,60
Arizona11,11,Alex Barcello,FR,G,Arizona,Pac-12,21,202,18,46,10,20,8,26,6,8,3,19,22,19,3,0,8,26,50
Arizona12,12,Jake Desjardins,SO,F,Arizona,Pac-12,3,7,1,2,1,2,0,0,0,0,0,3,3,1,0,0,1,2,2
Arizona13,13,Talbott Denny,SR,F,Arizona,Pac-12,3,6,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1
Arizona14,14,Tyler Trillo,JR,G,Arizona,Pac-12,2,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,3
Arizona15,15,Matt Weyand,,F,Arizona,Pac-12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona State1,1,Tra Holder,SR,G,Arizona State,Pac-12,31,1073,174,421,107,242,67,179,159,189,28,100,128,106,41,1,74,63,574
Arizona State2,2,Shannon Evans,SR,G,Arizona State,Pac-12,31,1052,151,399,60,155,91,244,122,143,10,89,99,109,44,9,52,58,515
Arizona State3,3,Kodi Justice,SR,G,Arizona State,Pac-12,31,1001,137,300,63,106,74,194,42,63,8,75,83,60,37,6,46,60,390
Arizona State4,4,Remy Martin,FR,G,Arizona State,Pac-12,31,718,106,232,84,174,22,58,71,94,21,68,89,90,36,2,42,47,305
Arizona State5,5,Romello White,FR,F,Arizona State,Pac-12,30,709,119,182,119,182,0,0,83,149,77,139,216,13,8,23,44,98,321
Arizona State6,6,De'Quon Lake,,F,Arizona State,Pac-12,31,570,90,126,90,126,0,0,47,71,58,106,164,4,8,40,14,89,227
Arizona State7,7,Mickey Mitchell,,F,Arizona State,Pac-12,23,535,46,93,40,74,6,19,32,47,34,88,122,38,19,13,32,69,130
Arizona State8,8,Vitaliy Shibel,FR,F,Arizona State,Pac-12,31,346,19,55,8,11,11,44,10,12,11,46,57,15,4,9,15,69,59
Arizona State9,9,Kimani Lawrence,,F,Arizona State,Pac-12,18,186,22,48,19,33,3,15,11,13,10,23,33,3,7,8,9,29,58
Arizona State10,10,Austin Witherill,SR,G,Arizona State,Pac-12,15,40,3,6,0,0,3,6,1,2,1,4,5,0,0,0,0,0,10
Arizona State11,11,Grant Fogerty,SO,G,Arizona State,Pac-12,12,12,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,3,0
Arizona State12,12,Jordan Salzman,FR,G,Arizona State,Pac-12,8,8,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas1,1,Jaylen Barford,SR,G,Arkansas,SEC,34,1061,220,466,135,270,85,196,88,123,35,100,135,87,35,10,64,86,613
Arkansas2,2,Daryl Macon,SR,G,Arkansas,SEC,34,1048,171,379,87,183,84,196,149,171,13,85,98,134,34,2,62,61,575
Arkansas3,3,Anton Beard,SR,G,Arkansas,SEC,34,1026,109,282,71,167,38,115,69,94,20,70,90,105,32,2,44,87,325
Arkansas4,4,Daniel Gafford,FR,F,Arkansas,SEC,34,769,162,262,162,262,0,0,82,157,74,137,211,24,19,73,37,112,406
Arkansas5,5,Trey Thompson,SR,F,Arkansas,SEC,34,611,48,95,48,95,0,0,17,28,39,94,133,52,22,28,34,75,113
Arkansas6,6,C.J. Jones,SO,G,Arkansas,SEC,34,506,79,184,37,71,42,113,18,22,4,45,49,14,8,4,13,30,218
Arkansas7,7,Dustin Thomas,SR,F,Arkansas,SEC,26,500,48,94,47,91,1,3,34,51,31,76,107,26,20,3,29,69,131
Arkansas8,8,Darious Hall,FR,F,Arkansas,SEC,34,497,62,121,49,91,13,30,36,64,31,75,106,16,16,7,37,69,173
Arkansas9,9,Adrio Bailey,SO,F,Arkansas,SEC,30,419,50,93,50,93,0,0,20,33,28,49,77,16,15,23,18,58,120
Arkansas10,10,Arlando Cook,,F,Arkansas,SEC,27,279,20,47,20,47,0,0,6,15,13,34,47,10,7,2,10,17,46
Arkansas11,11,Gabe Osabuohien,FR,F,Arkansas,SEC,19,135,10,25,10,21,0,4,2,10,6,22,28,7,3,3,11,21,22
Arkansas12,12,Jonathan Holmes,SO,G,Arkansas,SEC,11,18,6,15,4,9,2,6,1,2,2,1,3,1,1,0,2,1,15
